FID,OBJECTID,SHAPE,ANL_NAME,BEZIRK,SPIELPLATZ_DETAIL,TYP_DETAIL,SE_ANNO_CAD_DATA
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1727,1169809,POINT (16.48528604499758 48.15964233672039),PA Mannswörther Straße,11,"Rutschen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1728,1169810,POINT (16.407258278459167 48.25533647758513),Joseph-Samuel-Bloch-Park,21,"Klettern, Rutschen, Sandspielen, Schaukeln, Slackline, Wasserspiel, Wippen","Spielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1729,1169811,POINT (16.441740882985858 48.15608322009967),PA Feuerhalle Simmering,11,"Basketball, Skaten","Ballspielplatz, Skaterpark",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172a,1169812,POINT (16.31917291230156 48.21051184840909),PA Schuhmeierplatz,16,"Fußball, Klettern, Rutschen, Volleyball","Ballspielkäfig, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172b,1169813,POINT (16.28933732927938 48.18004585561537),PA Küniglberg,13,"Hängematte, Klettern, Rutschen, Sand-Matsch, Sandspielen, Schaukeln, Themenspiel Westernspielplatz, Wasserspiel, Wippen",Themenspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172c,1169814,POINT (16.291229013208568 48.1811941748455),PA Küniglberg,13,Fußball,Ballspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172d,1169815,POINT (16.417497781829823 48.203188426256354),Prater - Rosenbachl,2,"Klettern, Rutschen, Schaukeln, Wippen",Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172e,1169816,POINT (16.418726010740862 48.201879063402515),Prater - Rosenbachl,2,Klettern,Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_172f,1169817,POINT (16.423122001723367 48.199946832208624),Prater - Rosenbachl,2,Disc-Golf,sonstiger Spielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1730,1169818,POINT (16.381433932904887 48.153893616652624),PA Favoritenstraße,10,"Drehen, Schaukeln, Tischtennis","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1731,1169819,POINT (16.367897269949996 48.18630985140954),Alois-Drasche-Park,4,"Balancieren, Basketball, Fitnessgeräte, Fußball, Hängematte, Klettern, Reck, Sandspielen, Schaukeln, Tischtennis, Wippen","Ballspielkäfig, Ballspielplatz, Generationenspielplatz, Kleinkinderspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1732,1169820,POINT (16.330150997801915 48.196291453742646),GA Felberstraße,15,"Fitness, Wippen","Generationenspielplatz, Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1733,1169821,POINT (16.344024171702166 48.213986164688414),GA Albertplatz,8,"Rutschen, Sandspielen, Schaukeln, Wippen",Kleinkinderspielplatz,
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1734,1169822,POINT (16.331992370023045 48.21056834729696),Leon-Askin-Park,16,"Brettspiel, Spieltier","Kleinkinderspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1735,1169823,POINT (16.423184712111897 48.1775718388995),PA Mautner-Markhof-Gasse,11,"Fußball, Klettern, Rutschen, Sandspielen, Schaukeln, Wasserspiel, Wippen","Ballspielplatz, Kleinkinderspielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1736,1169824,POINT (16.500852094878983 48.223563721940984),Hannah-Arendt-Park,22,"Fitness, Slacklining","Generationenspielplatz, sonstiger Spielplatz",
SPIELPLATZPUNKTOGD.fid-2ff782e0_187b993f030_1737,1169825,POINT (16.50187425238995 48.22326996770724),Hannah-Arendt-Park,22,", Hängematte, Karussell, Klettern, Rutschen, Schaukeln, Trampolin, Wasserspiel, Wippen","Kleinkinderspielplatz, Spielplatz",
